avalanche.id;date;date.quality;hydrological.year;canton;local.name;start.zone.coordinates.x;start.zone.coordinates.y;coordinates.quality;start.zone.elevation;start.zone.slope.aspect;start.zone.inclination;forecasted.dangerlevel;number.dead;number.caught;number.fully.buried;activity
13007;25.12.1995;0;1995/96;VS;Chetseron / Vallon de l`Ertentse;7.4695441409207;46.33245970278832;25;2060;NW;NA;NA;2;2;0;offpiste
13014;28.12.1995;0;1995/96;VS;Verbier / Les Ruinettes;7.258545554001082;46.08880820325916;25;2340;NNE;39;NA;1;1;1;offpiste
13028;14.01.1996;0;1995/96;GR;Chilchalphorn;9.155749633389267;46.534313052323604;25;2960;E;35;NA;1;4;2;tour
13038;14.02.1996;0;1995/96;VD;;7.117350390198664;46.419984993809535;25;1580;NNW;42;NA;1;2;1;offpiste
13040;15.02.1996;0;1995/96;OW;Pilatus / Matthorn / Ruessiflue;8.248619551885897;46.96783427358785;25;1860;NW;40;NA;1;4;3;tour
13049;18.02.1996;0;1995/96;GR;Alp Trida / Greitspitz;10.336633620928513;46.9686015566083;25;2760;SE;38;NA;1;1;1;offpiste
13050;18.02.1996;0;1995/96;VS;Val de Nendaz / La Meina;7.3379922250737515;46.15785779975726;25;2160;N;48;NA;1;1;0;offpiste
13051;19.02.1996;0;1995/96;GR;Parsenngebiet / Salezer Tobel;9.832042183742505;46.82474377906355;25;2170;E;37;NA;1;1;1;offpiste
13052;19.02.1996;0;1995/96;VS;Hungerberg;8.37467824876401;46.54036961755637;25;2000;W;50;NA;1;2;0;offpiste
13054;19.02.1996;0;1995/96;GR;Drostobel;9.838529869785246;46.864386112237305;25;2020;E;40;NA;1;1;1;offpiste
13058;21.02.1996;0;1995/96;VS;Monts Rouges / Arolla;7.4338615236463434;46.021305903515135;25;3000;SE;40;NA;2;3;2;tour
13061;23.02.1996;0;1995/96;OW;Titlis / Laubersgrat;8.412316524779888;46.79167757786016;25;2100;NW;45;NA;1;1;1;offpiste
13069;29.02.1996;0;1995/96;VS;Strahlchnubel;7.871107271276394;46.008241838848804;25;3300;SW;36;NA;2;3;2;tour
13085;08.04.1996;0;1995/96;GR;Ofenpass / Piz Daint;10.287473906237482;46.62085375082988;25;2760;NNW;41;NA;1;1;1;tour
13129;31.12.1996;0;1996/97;GR;Munt da Brail / Val Paistel / Brail;10.017141341521182;46.665100645945195;25;2480;ESE;45;NA;1;1;1;tour
13134;02.01.1997;0;1996/97;VS;;7.08262834041443;46.01296153358129;25;2560;NNW;40;NA;1;2;1;transportation.corridor
13138;04.01.1997;0;1996/97;GR;Piz Gendusas;8.783210728239611;46.71584887823309;25;2650;ESE;39;NA;1;5;5;offpiste
13142;11.01.1997;0;1996/97;VS;Mont Blanc de Cheilon;7.415925126867972;45.99197918624401;25;3800;NW;49;NA;2;2;0;tour
13152;15.02.1997;0;1996/97;GR;;9.83916352712742;46.84331350626032;25;2020;NNE;40;NA;1;1;0;offpiste
13153;16.02.1997;0;1996/97;GR;Oberalppass / Pazolastock;8.669238583798116;46.65101041276731;25;2320;NE;35;NA;1;3;1;tour
13154;16.02.1997;0;1996/97;VS;Cleuson;7.326506010310276;46.10967592458726;25;2240;W;36;NA;1;2;2;tour
13159;16.02.1997;0;1996/97;VD;La Videmanette;7.201745505845612;46.45536646975391;25;2130;NW;42;NA;1;2;1;offpiste
13161;16.02.1997;0;1996/97;VS;Greppon Blanc;7.354778338149667;46.14325363798462;25;2680;E;41;NA;1;2;2;offpiste
13163;16.02.1997;0;1996/97;VS;;7.325698254349683;46.12487787590068;25;2150;NW;43;NA;1;1;0;tour
13166;16.02.1997;0;1996/97;VS;Champex / La Breya / Couloir de Planzin;7.104324725415157;46.022338624648356;25;2120;NNE;37;NA;1;1;1;offpiste
13172;21.02.1997;0;1996/97;BE;Wildstrubel / Schneehorn;7.5525167653694645;46.38934963853341;25;3100;SW;37;NA;2;2;2;tour
13173;21.02.1997;0;1996/97;GR;Gotschnagrat / Gotschnawang;9.853880955213782;46.855603135204206;25;2180;NE;45;NA;1;2;1;offpiste
13179;23.02.1997;0;1996/97;NW;;8.440480759414262;46.904514736761136;25;1870;NE;40;NA;1;1;1;tour
13180;23.02.1997;0;1996/97;VS;Greppon Blanc;7.375098778473175;46.141107566851275;25;2200;E;36;NA;1;1;1;tour
13183;28.02.1997;0;1996/97;BE;;8.388107639194807;46.770695812844245;25;2380;NNW;38;NA;3;6;4;offpiste
13218;04.05.1997;0;1996/97;GR;Piz Boval;9.903125001204318;46.415530170906784;25;3220;E;NA;NA;1;1;0;tour
13221;21.07.1997;0;1996/97;UR;Tiefengletscher / Galenstock;8.417666852962874;46.61044852022449;25;3540;E;NA;NA;3;3;2;tour
20001;26.10.1997;0;1997/98;BE;Doldenhornsattel / Doldenhorn;7.728971202544159;46.46981637753628;25;3420;N;NA;NA;2;2;1;tour
20006;19.12.1997;0;1997/98;GR;Camanna Suvretta / Piz Nair;9.772856423641489;46.50297360091793;25;2560;SW;30;3;1;2;1;offpiste
20007;21.12.1997;0;1997/98;UR;Gemsstock;8.612664375795035;46.602756045795836;25;2940;NW;NA;4;1;2;1;transportation.corridor
20015;29.12.1997;0;1997/98;VS;;7.199702010490035;46.034050739076136;25;2435;NE;35;3;1;2;2;tour
20024;04.01.1998;0;1997/98;UR;Geissgrat - Gemsplangge / Gemsstock;8.616893099557021;46.61710676661174;25;2400;N;50;3;1;2;1;offpiste
20031;20.01.1998;0;1997/98;GR;Margunin / Alp Muntatsch;9.847443412850572;46.5447966512958;25;2435;SE;28;3;1;1;1;tour
20039;21.01.1998;0;1997/98;FR;;7.223257127859498;46.60995262059384;100;1620;WNW;40;4;1;1;1;transportation.corridor
20045;25.01.1998;0;1997/98;VS;;7.438638807537525;46.00097672867292;25;3300;NNW;35;2;1;6;3;tour
20046;26.01.1998;0;1997/98;GR;Pizza Naira / Parpaner Rothorn;9.611276374091625;46.727826815044395;25;2800;WNW;45;2;1;1;1;offpiste
20058;18.03.1998;0;1997/98;GR;Piz Platta;9.562339909983905;46.48541681914042;25;3300;S;NA;2;2;4;0;tour
20063;30.03.1998;0;1997/98;SZ;Schwarzstock;8.814331222361472;47.038459763529275;25;1450;SW;47;2;1;1;1;tour
20070;20.04.1998;0;1997/98;GR;;9.823012644441437;46.384033537373675;25;2950;ENE;45;2;1;1;1;tour
20102;04.10.1998;0;1998/99;BE;Morgenhorn - Gamchigletscher;7.792284314729793;46.49554499160461;25;3600;N;55;NA;2;2;1;tour
20111;10.12.1998;0;1998/99;VS;Col de Riedmatten / Monts Rouges / Arolla;7.4326995242764955;46.02004651439415;100;2980;ESE;42;2;1;1;1;tour
20114;12.12.1998;0;1998/99;VS;Meiggergrabe / Meiggertal / Mittaghorn;7.943694764269933;46.08188386463345;25;2680;SE;NA;2;1;2;0;tour
20115;12.12.1998;0;1998/99;VS;;6.813993666309837;46.18473434039524;25;2100;WNW;40;2;1;1;1;offpiste
20117;13.12.1998;0;1998/99;SZ;Summerlaui / Jochli / Stooswald;8.651810747747023;46.980198220053005;25;1380;N;38;3;1;1;0;offpiste
20119;27.12.1998;0;1998/99;VS;;6.972380323294861;46.03459874665632;25;2240;N;36;2;1;1;1;offpiste
20123;01.01.1999;0;1998/99;VS;Combe des Morts / Col du Gd St Bernard;7.178903535207588;45.87159268845787;25;2400;NE;NA;3;1;4;1;tour
20125;01.01.1999;0;1998/99;TI;;8.751657330520931;46.52116520818527;25;2540;WSW;50;3;1;1;1;tour
20130;06.01.1999;0;1998/99;BE;Inberg / Lauberhorn / Tschuggen / Kleine Scheidegg;7.955633921199966;46.591443267354144;25;2200;NE;45;2;1;1;1;tour
20143;01.02.1999;0;1998/99;VS;;7.293805988105159;46.10163273173346;250;2560;NE;43;3;1;6;3;offpiste
20149;07.02.1999;0;1998/99;GR;Laviner da Gonda / Gonda-Lawine / Piz Chapisun - Inn;10.11963018752198;46.79392069166041;250;2840;SSE;42;4;1;4;4;transportation.corridor
20150;08.02.1999;0;1998/99;BE;;7.945683526535204;46.601833058478235;100;2150;W;52;4;2;2;2;building
20155;11.02.1999;0;1998/99;GR;;9.80382711993582;46.73164617077309;25;2280;WNW;38;4;1;2;2;offpiste
20157;13.02.1999;0;1998/99;VS;Grand Combe / Les Fontanets / Les Ruinettes / Verbier;7.255067368134029;46.0851143508053;25;2150;W;43;3;1;1;1;offpiste
20163;21.02.1999;0;1998/99;VS;;7.542121831468391;46.11804903805626;100;2900;WSW;NA;4;9;9;9;other, mixed or unknown
20164;21.02.1999;0;1998/99;VS;;7.533084070883946;46.12840297744628;100;2900;WSW;NA;4;3;4;3;transportation.corridor
20167;23.02.1999;0;1998/99;UR;;8.716239139878798;46.79318004002901;100;2750;S;NA;5;1;1;1;building
20169;23.02.1999;0;1998/99;VS;;8.250463428598636;46.516405089848;1000;2600;E;NA;5;1;1;1;building
20172;09.03.1999;0;1998/99;GR;Diavolezza;9.964857368787891;46.413812256071914;25;2900;NNE;42;2;1;1;1;offpiste
20182;14.04.1999;0;1998/99;GR;;9.95850791930113;46.72257397722725;25;3020;ENE;NA;2;1;3;0;tour
20186;20.04.1999;0;1998/99;GR;Mot dal Gajer / Val Stipa / S-charl;10.330707585275858;46.69510764333239;100;2750;NW;45;2;1;2;1;tour
20189;28.06.1999;0;1998/99;UR;Clariden Nordwand / Urner Boden;8.867702361813764;46.843747328408725;25;3080;N;55;NA;2;2;2;tour
20190;03.07.1999;0;1998/99;BE;;8.131153145220333;46.58196562611462;25;3880;S;50;NA;1;1;0;tour
20202;07.11.1999;0;1999/00;TI;Pizzo Rotondo;8.464816139930804;46.51548126883519;100;2930;S;42;NA;2;2;2;tour
20207;27.12.1999;0;1999/00;GR;;9.585526243963058;46.79926954697045;25;2300;NE;43;3;1;1;1;transportation.corridor
20213;30.12.1999;0;1999/00;VS;;7.191129214339274;45.88759605927836;25;2200;WNW;41;3;1;17;2;other, mixed or unknown
20218;31.12.1999;0;1999/00;GR;;10.172473265779004;46.7957281412984;25;2280;SE;33;3;1;2;2;tour
